essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,rater1_domain2,domain2_score,rater1_trait1,rater1_trait2,rater1_trait3,rater1_trait4,rater1_trait5,rater1_trait6,rater2_trait1,rater2_trait2,rater2_trait3,rater2_trait4,rater2_trait5,rater2_trait6,rater3_trait1,rater3_trait2,rater3_trait3,rater3_trait4,rater3_trait5,rater3_trait6,comments
19489,7,I was patient when I went to the doctors. When I went to the doctors me and my mom wait patient for a long time. It felt like years but it was alone for @NUM1 hour then when the doctor called us back to the room wait for a long period of time and a nother half-hour we waited. I asked my mom “why did it take forever” my mom said “because their other people befor us.” “oh” I said ok then.,8,4,,12,,,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,"ID2,ORG2,STY3"
9806,4,The author concludes the story with this paragraph @CAPS1 reason why he does is because he wants to conclude by writing about geese. Second he like plants and the season’s that they bud. He vowed that he would take that test in the spring. He cant wait until the snow melts so that way he can take the test.,1,1,,1,,,,,,,,,,,,,,,,,,,,,"ID3,ORG2,STY2"
8912,4,"The author used the last paragraph because the hibiscus is a symbol for saeng. It shows that she will be ready when spring comes. When the plant is ready to bud, she will have faith about taking the test. She'll probably want to take care of the plant before she takes the test. When the plant bads, saeng won’t have to take care of it anymore.",1,1,,1,,,,,,,,,,,,,,,,,,,,,"ID2,ORG2,STY2"
16449,6,"The people who built the Empire State Building had many problems building it. The one obstacle to their expanded use in New York was the of a suitable landing area. The Empire State Building was going to have a mooring mast at it's top for docking these new airships, which would accommodate passengers on already existing transatlantic routes and new routes that were yet to come.",2,1,,2,,,,,,,,,,,,,,,,,,,,,"ID3,ORG2,STY2"
474,1,Do you like going on the computer? Well after you read this I don't thing you would want to. I know that the population of @ORGANIZATION1 uses the computer. If your on the computer for @NUM1 hr. yo can damiges your eye and you would have to were glass and you don't want that soemtimes it's hart to stay off of them. The internet can be for alot for things like to talk to your friends and family. And to play games. the computer is for to about diferent things one thing you can learn is the presidents other thing is your family history. Now you know what the computer can do to you. Only use computer or @NUM2 or @NUM3 mins. That is what I would do.,3,3,,6,,,,,,,,,,,,,,,,,,,,,"ID2,ORG3,STY3"
9835,4,The author concludes the story with that paragraph because she wants us to know that she’s not giving up on her test. The author wants to inform the readers that she’s not giving up “…then I will take that teat again” which clearly states she still has hope. Author wants to continue on her test to find the right flower. This is why the author concluded the story with that paragraph.,1,1,,1,,,,,,,,,,,,,,,,,,,,,"ID3,ORG3,STY2"
18856,7,I’m always patient I’m really patient until my birthday then when I get presents I don’t need to be patient anymore because I wait a year for presents and then I wait for @CAPS1 because its only like a month away from my birthday And this year I’m being patient until @CAPS1 because I’ve already know what I’m getting. But that what I’m patient for just about nothing else I’m patient for.,4,7,,11,,,1.0,1.0,1.0,1.0,,,2.0,1.0,2.0,2.0,,,,,,,,,"ID2,ORG2,STY3"
376,1,"@ORGANIZATION2. Hey ma name is @PERSON1 I'm @NUM1 years old I go to @ORGANIZATION1 @CAPS1 @CAPS2 going to talk to you about expert people saying that computers are effecting the society. But technology believe that computer have a positive effect on people. More and more people use computer, but not everyone agrees that this benefits society. People think computer benefits society, @CAPS3 it don't people learn more they also could talk to people online if they dont got a cell phone to talk you could also research places you wana go to vacation and you could see how it look. Computer is one of the best things they inveted, but is bad to some people because they want to search direction and vecation places but they cant so is hard for people who dosen't got a computer to find out, computer dosen't benefit the society. Those who support advances in technology belive that computer have a positive effect on people. A computer is one important in ma life if @CAPS2 behind in some classes I could do some research and study at home and learn about it. I lost ma cell phone but now I talk to ma friends online when ma parents dosent wana take me shopping I go shopping online is easyer to look fourwut you want. People learn alot with computers, computer is @CAPS3 the world. You could see earth, space the city and wuts going on in internet computer dosent effect the society dosent effect the society in makes it easyer. Give people ability to learn about far away places and people and even allow people to talk online people. I dont know about @LOCATION1 the only thing I knew it was hot but I searched abot it @LOCATION1 is like a cool/park is alot of fun things you could do so I want for vacation and things was true. Online is a great place to chat with friends or family you could keep in touch. Some expert people concern that people are to mouch time in computer instead of exercising. @CAPS1 people do spend alot of time in computer but they do exercite when they go out with family the play the sport when they shopping the are walking thats exercising i bee in the computer @NUM2 but I still exercite I play basketball all the time from the morning till the afternoon because ma health is in portant. You see exspert people you might thing computer are effecting us but is not is the world real easy to find direction places to have a wonder full vecation and it help us study for @ORGANIZATION1 we could apply for jobs and @ORGANIZATION1 online computers are helping us.",4,4,,8,,,,,,,,,,,,,,,,,,,,,"ID3,ORG3,STY3"
6341,3,"In the story “Do Not Exceed Posted Speed Limit. Their are many features that affected the cyclist. For example, “The sun was beginning to beat down.” they were starting to get hot, than tired. Than when he came to all the bumps in the road, It was harder to pedal. He was also drinking his bottle of water hard. So that means he's hot getting tired and lost “I got down on my hands and knees working the handle of the rusted water pump with all my strength” That is telling us he’s working too hard, than he’ll be worn out to ride. Those are reason's why features affected the cyclist. ",2,2,,2,,,,,,,,,,,,,,,,,,,,,"ID2,ORG3,STY3"
12174,5,"A house is not a home without family, and a family is not a family without its trails, struggles, and happiness. The mood in the memoir was to show what family is, that its much more than blood. It's unity, friendship and laughter, its the tears, pain and heartache. Its about how you can start in the slums and work your way up but one thing is never going to change, and that's family. Home doesnt matter about the physical space of the dwelling, but about the relationships and memories you make there. Home is where unity, satisfaction, happpness, and imagination come together in one unorganized way, but it doesnt mean that it won't have trails like racism that almost every minority has to deal with even Narciso Rodriguez dealt with it. I deal with it to, I get called cracker and n**** on a daily baised, I dont know how I would get through it without family.",2,2,,2,,,,,,,,,,,,,,,,,,,,,"ID1,ORG2,STY2"
3754,2,"No, I dont think you should be able to take the magazines off the shelf because it is pointless,to some people @MONTH1 find everything offensive and others @MONTH1 not find it offensive like me personally stuff people find offinsive I find it kind of humorous.       And I understand how some people are more likely to be offended because of say their sexuality or ethnicity. But other than that there should be no censorship it makes the place that is doing it seem like they are very strict and because of those strict policys it makes some people wanna go there less to get what they want and who knows the thing you @MONTH1 want @MONTH1 be censored.  And I understand that when you have a kid you dont want them to fo the wrong things in life and try and keep them away from the bad stuff as long as possible.  But as your child grows older he will be introduced to older/adult type material and you should cut them a break and not punish them very bad when something like that happens.  From my humble opinion some parents are very strict about censorship and I completely understand the parents point of view.     Eventually people will have to let their children find out about certain things, so you might as well allow them to see it at possibly the age of @NUM1 or so that seems like a suitable age for early privelages.  When it comes to taking items off a shelf some peole have worse judgement than other people and that can effect everyone from their bad judgement.",3,3,,3,3.0,3.0,,,,,,,,,,,,,,,,,,,"ID1,ORG2,STY2"
19134,7,Once upon a time I was at the doctor and it was very crowned it. So well my mom went to go give the boy the information about me I was sitting down by this lady and her daughter was crying  when my mom came back and the doctors was calling  names I was trying to be patient so I got up went and the kids play area and started to play. A couple minutes later the doctors finally call my name so we got there at @NUM1 the doctors call me at @NUM2 pm. So they gave me a shot sat and the room for @NUM3 minutes they gave me some modsers and told me to go get the parstarch and to get problem want me to go to @CAPS1/ pharmacy and that’s the time I was being patient.,4,7,,11,,,1.0,1.0,1.0,1.0,,,2.0,1.0,2.0,2.0,,,,,,,,,"ID2,ORG3,STY3"
17899,7,"“@CAPS1! Look out!” @CAPS2 squealed. The sound of crunching metal was deaffening. There was no way out. My eyes seemed sealed shut, but they were as wide as could be. T he eery silence frightened me. I felt arms grab me, pulling me to @CAPS9 they concidered safety. In no way, was this to be concidered safety, for this was the beginning of one living-nightmare. The living nightmare of my life. Here’s a picture of @CAPS9 I saw: @CAPS3 cars, twisted, tangled and smushed so close together, they seemed as if they were one object. Lying beside me was a small boy. That boy was my brother, @ORGANIZATION1. His chest expands slowly, but as it does, excruciating sounds radiate from him. Blood triddes out from his many cuts. It’s unbearable to watch. Ambulences’ sirens wail as they approach. My father I have yet to see. And that’s @CAPS9 scares me most. II still have nightmares of that night. The night everything changed. Not only had I lost my father and brother, but in someways, I’d lost my mother as @CAPS6. @CAPS5’d never understand the pain of watching your little brother die, all because of something you desired. If I hadn’t made my father turn around to get my forgotten notebook, I’d still have a @CAPS1 and little @ORGANIZATION1. Ever since the funeral, I could feel my mother and I pulling apart. Nothing with us has been the same since. We fight constently, never listening to @CAPS9 the other has to say. Maybe it’s just the life of a typical teen and her @CAPS8. I wouldn’t know because in no way we we typical. When we aren’t fighting about who- knows- @CAPS9, we just keep our distance. Sometimes, though, the silence is scarier, more heart pounding, than the shouting. Silence is just so freaking loud! My mother is beginning to attempt the seemingly impossible. @CAPS5 begins to try and understand my strange ways. “@CAPS4”, @CAPS5 starts, “I know I haven’t been patient with you lately, and for that I’m sorry. I will try to be, starting now. I only ask you of one thing.” I give her a questioning, gaze, so @CAPS5 continues, “I would like you to tell me why you blame yourself?” @CAPS5 didn’t have to explain any farther. “@CAPS6, I made @CAPS1 turn around,” my voice caught in my throat, “just to get my stupid notebook.” A single tear weaved its way down my face. “@CAPS7, hunny!” my mother teared up as @CAPS6. “That doesn’t make it your fault! You had no idea it would end that way!” I knew my patience had been worn through for a long time, but I refused to snap at my mother now. @CAPS5 was only trying to help. I fought my annoyed tone, which was battling its way out. But I was to win that fight. “@CAPS8,” I said, regaining composure, “that’s how I feel about the issue. I wish I could just take your word for it, and maybe overtime I will, but right now, I just need my @CAPS8.” @CAPS9 shocked me most was the smile that formed on my mother’s lips. “I will wait then.” And then @CAPS5 hugged me. @CAPS5 hugged me as @CAPS5 had when I was four and broke my leg. Tight and unhesitantly. I could feel the beginning of a new found relationship with my mother. Maybe not as strong as it had been, but definately there. With patience and time, it has bloomed into a healthy relationship, in which we both can enjoy and respect.",12,12,,24,,,3.0,3.0,3.0,3.0,,,3.0,3.0,3.0,3.0,,,,,,,,,"ID1,ORG2,STY2"
712,1,"Dear Local Newspaper, @CAPS1 you think computer have good or bad effects on people? It has been bought to @CAPS10 mind that people fight about @CAPS3 computers to @CAPS2 a doubt I think that computers have a positive on people. @CAPS10 think arguments are people find ability in talk online with other people and help with school work. First of all computers gieve in ability to learn about faraway places. This is really helpful @CAPS3 you @CAPS3 you want to learn about @CAPS4 you can go at the computer end google ""@CAPS4 @CAPS6"". By doing this you'll find a lot of info on @CAPS4. I should I tried it before. So that computers giving you this ability to learn about faraway places is really helpful to the human society. Second of all computers people to talk to other people around the world. This is really helpful @CAPS3 you want to learn about people from around the world. This is different than googling fatcs about other people. This is free because @CAPS3 you google @CAPS3 your online chat with someone you have a In @CAPS10 thoughts thats the best way to is helpful friends and family @CAPS3 they dont have of all computer can help with school work. This is helpful students could and the world or about a different This remind me of the time I had to @CAPS1 a project about the nine planets. I had to find a lot of info so that also means a lot of books and a lot of reading. So these I the easiest and fastest way to @CAPS1 @CAPS10 project. I went on the internet in @CAPS10 and get all the info that I needed. So then I completed @CAPS10 project and headed it in to @CAPS10 teacher. She gave me a @PERCENT1 for a project grade. I got a @PERCENT1 because I misspelled @CAPS10 name, but that doesnt matter. What I am to tell you is that computers help students with school work like projects. @CAPS2 thinking I know that computer have a positive effect on @CAPS10 three arguments is that computers give you ability to learn about faraway places, allow you to talk online with other people, and help you with school work. Please take @CAPS10 side and think that computers have a positive effects on human society.",4,5,,9,,,,,,,,,,,,,,,,,,,,,"ID2,ORG2,STY3"
19395,7,"Patience is the ability to be tolerant,understanding and face difficulties without complaining. Patience isn’t  something they teach you in my school. There isn’t a book your assigned to read called  patience @NUM1,there is no movie called patience is the key. Non of that exists, even if you live in a world where a necklace can be turned into a camera, or a cell phone is a gun. I have just been assigned my first undercover mission and it’s not at all wat  i had expected. So far, all I have done is sat on a cold bench next to  the strength meter at a county fair. What people really don’t understand is the patience that is put in to being a spy. Sure theres an ocasional car being blown up bet  not today, not for me. I here the clock in my hand so ‘tick,tock,tick,tock’. @CAPS3  @CAPS2, there’s come action. The subject (the person I’m assigned to watch is on the move and, oh, nevermind, all the subject has done is bay a three dollar bag of popcorn. I start to doodlle a design in the dirt, with my foot. I’m just about to abort the mission. Seeing that nothing is happening when all of a sudden I find a clue. There in the dirt that lay just before me. I see a tiny computer chip. I pick it up and spray it with finger print revealing mist. A purple fluffy cloud of vapor sorround the chip. Sure enough when the purple cloud vanishes. I see that the subjects fingerprints are on the chip, I pull out my laptop at insert the computer chip. @CAPS1 @CAPS1 are the words that stay on the computer screen as if refusing to leave. I sit there waiting bored. I remember patience. I think to myself that if I’m able to defeat twelve armed robers with nothing but a tablecloth, I’m sure I can sit here and just be patient.  At least twenty minutes have gone by now but i feels like twenty hours. The computer still has written on the screen, @CAPS1, @CAPS1, @CAPS1 wassucsessful. “@CAPS2!” I say aloud and people start to stare, but I dont mind. I click the square on the screen that says “open.” @CAPS3 a small message opens up that says “@CAPS4 me at the ice cream pallor.” I close my laptop and start to slowly walk over to the ice cream van, observing everyone , and everything around me. A man wearing a yellow shirt and a lady with a purple scarf diaped over her head are the only two people standing by the icecream stand. I walk a little bit closer and i realise that the man has a gun. I pull out mine and with a few loud roars they were both in handcaffs ofcoure, they were both working with the main suspect. I would have never been able to sucsesfully complete  my mission without being  patient.",12,12,,24,,,3.0,3.0,3.0,3.0,,,3.0,3.0,3.0,3.0,,,,,,,,,"ID1,ORG2,STY2"
13621,5,"The mood I think the author created in the memoir was love.The reason why I say love is because to me he cares about the his family and he also stayed with his family tradition and he care and follows them. He also loved being with his family. For example in paragraph @NUM1 in the article it say; ""I will never forget that house or it's gracious neighborhood or the many things I learned there about how to LOVE. I will never forget how my parents turned the simple house into a home. and to me that shows Love thats why I think the author created Love as his mood in the memoir.",2,2,,2,,,,,,,,,,,,,,,,,,,,,"ID1,ORG1,STY2"
9221,4,They used this sentence because she wants to see the flower bud and feels like she is at home again. Then she will take the test. She also will feel lucky and have a memory of home so saeng vowed silently to herself.,1,1,,1,,,,,,,,,,,,,,,,,,,,,"ID2,ORG2,STY1"
7367,3,The features of the setting affect the cyclist in many ways. One of the ways are that it is affecting him is that the discription of it makes it seem hotter then what it really is. He says “neihbor hood of two hundred degrees.” He is saying that it is really hot. The features of the setting affected him because I mad it seem hoter and he was taking it to far.,1,1,,1,,,,,,,,,,,,,,,,,,,,,"ID3,ORG3,STY3"
3058,2,"All throughout the world there are libraries.  Librairies have all different kinds of materiel stacked upon shelves.  Most of the material is helpful and enjoyable but some is not.  I think libraries should be able to have whatever they want on their shelves.  Yes, i understand some of this material @MONTH1 be inappropriate for a certain person but there is a way you can fix this.     If libraries have inappropriate books, movies, music, ect.  I think they should be able to keep them.  Just because some people do not that material does not mean everyone won't like it.  Everyone has their own style, everyone likes different things and has different opinions.  Isn't that what makes the world go around?       Adults @MONTH1 have a problem with the offensive material because they have children who go to the library.  I understand there concern but there can be a way to stop them from getting to the inappropriate material.  If libraries are going to have this kind of stuff in their libraries i think there should be a blocked off room where kids can't go.  That way the people who like that kind of stuff can still get to it but the children can not.       We go to school for a vast amount of reasons.  Some being; to learn, to get us ready for college, and to be independent.  While we are at school not only are we learing things like math and evolution, but we are also learing whats going on in the world around us.  If you haven't noticed, all that is out there anymore is bullying, cursing songs and horrifying movies.  We, as children and teenagers see and hear about this everyday.  Since we learn and already know about all of this 'offensive' stuff, why not have it in our libraries for other people who want to study it?     There is alot of different kinds of material in libraries.  Some good for kids and teenagers and some inappropriate.  I understand the concern for parents on censorship in public libraries, but there is a way to stop it.  I think as long as its blocked off into a different room, everyone will be fine and it will cause no harm",3,4,,3,3.0,3.0,,,,,,,,,,,,,,,,,,,"ID1,ORG1,STY2"
7554,3,"The features of the nearby setting affect the cyclist in a bad way. The four main things that affect him are the heat, lack of water, lack of nearby buildings, and @CAPS2. For this cyclist one of the biggest problems is the heat. He says” i was travelling through the high deserts of California in June”. this shows that it is quite hot outside by the month stated. June is quite a hot month especially in @CAPS1 deserts. The second problem is the cyclist lack of water. He says throughout the story how thirsty he is and how much he needs to drink some water. When he reaches the end, however he finds water. The third problem is when he needs water, he can’t find anywhere due to the lack of buildings. He pedals great distances trying to find “towns” nearby. Once he finds them, they are either “ghost towns” or are not useful at all. The final problem he faces is the @CAPS2. He says “At some point, tumbleweeds crossed my path and a ridiculously large snake… blocked the majority of the pavement in front of me.” @CAPS2 is getting in his way and not helping him to reach his destination at all. Truly . the features of the nearby setting are affecting him in a tramatizing way, because so many things like heat, lack of water , buildings, and @CAPS2 are inches way.",3,2,,3,,,,,,,,,,,,,,,,,,,,,"ID1,ORG2,STY2"
3258,2,"Library @CAPS1:                                    @CAPS2 or bad?      It is a very rare occasion that i go to the library, i'm a typical guy, i like sports, video games, and hanging with my friends. When im not in school i try to stay away from everything that reminds me of it, like libraries. Those very rare occasions when i do go to the library, for a summer reading book for school, i usually browse around to see what they have on the shelves. Some of the stuff i see at libraries catches my eye, and not because it looks like a @CAPS2 book, but because it's shocking to see what they allow to be even put on the shelves.     On the book shelves that i have walked by i have seen romance novels and they arent as bad as i would have thought, at first they catch my eye with the titles because they are usually kind of out of the ordinary. I feel that these books aren't innapropriate for young adults, but younger kids and pre teens should'nt be reading them. So as long as there is seperation between the kids section and adult section then i think it is completely okay to have romance novels and any other graphic novels up on the shelves because they are types if literature.     Now magazines on the other hand can be taken either way. Gossip magaziines can be entertaining, but they can also be highly offensive. The problem with magazines alot of the writing is people's opinions and they could be talking in a very negative wasy about some people or some things. I think its up to the library to make a decision on that but if someone complains about it i think the library should be kind enough to take it off of the shelf. They are also magazines that show off models in swimsuits and clothes, and i feel that if the guys or girls are nude at all in the magazine they should either be in a back room and have people request to see them or they shouldn't be in the library at all. I've seen parents walk into a library and their son asked them why that magazine had a half naked lady on it and i just felt like it was highly irresponsible for the library to just leave these magazines out for kids to see them and then bug there parents all day about what they saw at the library.     Music and movies are not that hard to control from them getting into the wrong hands. Now a days @CAPS3 cases for music have stickers on them that say parental advisory, so i feel that the library should be able to have any types of music on the shelves because music now has warnings on the cases. Movies are the same way, they have ratings. If the librarian see's a @NUM1 year old kid trying to check out a rated @CAPS4 movie then she should be fired, because there is cleary no reason why she would do that. Excuses cant come into play here because if you look at the rating and then you look at the person you can usually see if the movie is appropriate for them or not. Now @CAPS5 movies should not be in libraries at all, libraries are supposed to be a place to get something nice to read or listen to. Pornography in a library is like haveing strippers in school, it is just not ethical.      In conclusion i feel that cencorship in libraries is a @CAPS2 thing to have. If libraries organize things well and make sure kids aren't in ares that they shouldn't be then everything should be fine",4,4,,4,4.0,4.0,,,,,,,,,,,,,,,,,,,"ID2,ORG3,STY2"
1730,1,"Many people debate on whether on net computers have negative effects on them @CAPS1 believe have negative effects on them @CAPS1 believe computers are an asset to society because you can access almost anything. That is the problem. The content on computers is affilicted upon everyone that sees it, Computers also don't help people get healthir, anf if you need to research something books are more help than the internet. For starter, the contents on computers and the internet are too much for people and society. @CAPS4 I'm saying is way too much can be accessed on the internet. Derrogatory and pornagraphic websites harm people the @CAPS1 especially @ORGANIZATION1 and teens. Chinese government officials have cut off access to the @CAPS1 dangerous websites. Chinese readers started ""@CAPS3 belive the things that are easily accessed on computers are poisoning the minds of the youth."" The internet and computers are  waiting to explode and invade the minds of everybody. Secondly, computers aren't metally from computers but physically unstable also. Computers offer of games for @ORGANIZATION1 to play. These games start off fun but they become habits. Don't get me away though games can be fun but when a child plays a game for hours a day there is a problem. The problem is that kids are not getting enough of the exercise they need. Studies performed by the @ORGANIZATION1  know that @PERCENT1 of child who play computer generated games are overweight. Therefore I believe games are harmful habit to young @ORGANIZATION1. Lastly, many people do research on the internet. but some facts are actually @CAPS4 im getting is that no one need a computer to look up or do research on projects. Instead go to a library. Many find books boring but it will help in the long . I remember a time when i had a project dure for @PERSON1's in @NUM1 grade on @LOCATION1. I looked up information on the internet instead of using a book just to learn that the facts were actually highly in accurate . Therefore, never depend on the internet as a source of research. from derragatory content, to unhealthy youth, to innacurate research. Computers are not assets to society but issues. In my opinion i believe computers are actually doing more harm than good to everbody that uses them.",4,6,,10,,,,,,,,,,,,,,,,,,,,,"ID1,ORG2,STY2"
